Time,y2,y3
2022-02-20 23:14:16.391,19,19
2022-02-20 23:14:17.201,19,19
2022-02-20 23:14:18.012,19,19
2022-02-20 23:14:18.822,19,19
2022-02-20 23:14:19.632,19,19
2022-02-20 23:14:20.443,19,19
2022-02-20 23:14:21.253,19,19
2022-02-20 23:14:22.063,19,19
2022-02-20 23:14:22.873,19,19
2022-02-20 23:14:23.684,19,19
2022-02-20 23:14:24.494,19,19
2022-02-20 23:14:25.304,19,19
2022-02-20 23:14:26.118,19,19
2022-02-20 23:14:26.925,19,19
2022-02-20 23:14:27.735,19,19
2022-02-20 23:14:28.545,19,19
2022-02-20 23:14:29.356,19,19
2022-02-20 23:14:29.921,19,19
2022-02-20 23:14:30.596,31,31
2022-02-20 23:14:31.405,31,31
2022-02-20 23:14:32.216,31,31
2022-02-20 23:14:33.026,12,12
2022-02-20 23:14:33.837,12,12
2022-02-20 23:14:34.647,12,12
2022-02-20 23:14:35.457,12,12
2022-02-20 23:14:36.267,12,12
2022-02-20 23:14:37.078,12,12
2022-02-20 23:14:37.888,12,12
2022-02-20 23:14:38.698,12,12
2022-02-20 23:14:39.508,12,12
2022-02-20 23:14:40.319,12,12
2022-02-20 23:14:41.129,12,12
2022-02-20 23:14:41.939,12,12
2022-02-20 23:14:42.750,12,12
2022-02-20 23:14:43.560,12,12
2022-02-20 23:14:44.370,12,12
2022-02-20 23:14:45.180,12,12
2022-02-20 23:14:45.988,12,12
2022-02-20 23:15:15.003,12,12
2022-02-20 23:15:15.811,12,12
2022-02-20 23:15:16.621,12,12
2022-02-20 23:15:17.432,12,12
2022-02-20 23:15:18.242,12,12
2022-02-20 23:15:19.052,12,12
2022-02-20 23:15:19.861,12,12
2022-02-20 23:20:18.383,19,19
2022-02-20 23:20:19.191,19,19
2022-02-20 23:20:20.002,19,19
2022-02-20 23:20:20.812,19,19
2022-02-20 23:20:21.622,19,19
2022-02-20 23:20:22.433,19,19
2022-02-20 23:20:23.243,19,19
2022-02-20 23:20:24.053,19,19
2022-02-20 23:20:24.863,19,19
2022-02-20 23:20:25.674,19,19
2022-02-20 23:20:26.484,19,19
2022-02-20 23:20:27.331,31,31
2022-02-20 23:20:28.142,31,31
2022-02-20 23:20:28.952,31,31
2022-02-20 23:20:29.762,31,31
2022-02-20 23:20:30.572,31,31
2022-02-20 23:20:31.383,31,31
2022-02-20 23:20:32.193,31,31
2022-02-20 23:20:33.004,31,31
2022-02-20 23:20:33.814,31,31
2022-02-20 23:20:34.625,31,31
2022-02-20 23:20:35.285,14,12
2022-02-20 23:20:36.093,12,12
2022-02-20 23:20:36.903,12,12
2022-02-20 23:20:37.713,12,12
2022-02-20 23:20:38.524,12,12
2022-02-20 23:20:39.334,12,12
2022-02-20 23:20:40.144,12,12
2022-02-20 23:20:40.954,12,12
2022-02-20 23:20:41.765,12,12
2022-02-20 23:20:42.575,12,12
2022-02-20 23:20:43.385,12,12
2022-02-20 23:20:44.195,12,12
2022-02-20 23:21:07.608,12,12
2022-02-20 23:21:08.418,12,12
2022-02-20 23:21:09.229,12,12
2022-02-20 23:21:10.039,12,12
2022-02-20 23:21:10.849,12,12
2022-02-20 23:21:11.659,12,12
2022-02-20 23:21:12.468,12,12
2022-02-20 23:22:59.831,12,12
2022-02-20 23:23:00.642,12,12
2022-02-20 23:23:01.452,12,12
2022-02-20 23:23:02.262,12,12
2022-02-20 23:23:03.072,12,12
2022-02-20 23:23:03.882,12,12
2022-02-20 23:23:04.690,12,12
2022-02-20 23:23:11.150,32,32
2022-02-20 23:23:11.960,32,32
2022-02-20 23:23:12.770,32,32
2022-02-20 23:23:13.580,32,32
2022-02-20 23:23:14.391,32,32
2022-02-20 23:23:15.201,32,32
2022-02-20 23:23:16.011,32,32
2022-02-20 23:23:16.822,32,32
2022-02-20 23:23:17.632,32,32
2022-02-20 23:23:18.442,32,32
2022-02-20 23:23:19.252,32,32
2022-02-20 23:23:20.063,32,32
